Account General Rate Type,Account Is Active,Account Is Allocated Overhead,Account Is Balancesheet,Account Is GAAP,Account Key,Account Level 0 Name,Account Level 0 Number,Account Level 1 Name,Account Level 1 Number,Account Level 2 Name,Account Level 2 Number,Account Number,Account Type Name,Account Type Sequence,Amount USD,Learn More,Actual,Forecast,Variance,Variance %,Department Is Active,Department Key,Department Level 0 Name,Department Level 0 Number,Department Level 1 Name,Department Level 1 Number,Department Number,Number of Records,Path,Period Ending Date,Scenario,Sheet,Version
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$16,126,250.81",Explore Tableau for Finance Analytics,"$16,126,251",$0,"($16,126,251)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$16,664,556.53",Explore Tableau for Finance Analytics,"$16,664,557",$0,"($16,664,557)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$31,912,602.78",Explore Tableau for Finance Analytics,"$31,912,603",$0,"($31,912,603)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$18,655,082.83",Explore Tableau for Finance Analytics,"$18,655,083",$0,"($18,655,083)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$25,681,098.98",Explore Tableau for Finance Analytics,"$25,681,099",$0,"($25,681,099)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,5/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$34,663,035.98",Explore Tableau for Finance Analytics,"$34,663,036",$0,"($34,663,036)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,6/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$21,958,708.15",Explore Tableau for Finance Analytics,"$21,958,708",$0,"($21,958,708)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,7/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$28,778,882.47",Explore Tableau for Finance Analytics,"$28,778,882",$0,"($28,778,882)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,8/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$42,467,090.75",Explore Tableau for Finance Analytics,"$42,467,091",$0,"($42,467,091)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,9/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$28,394,285.89",Explore Tableau for Finance Analytics,"$28,394,286",$0,"($28,394,286)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,10/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$32,822,458.91",Explore Tableau for Finance Analytics,"$32,822,459",$0,"($32,822,459)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,11/30/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,1,Income,10000,Income,10000,Income,10000,10000,Income,1,"$62,048,385.21",Explore Tableau for Finance Analytics,"$62,048,385",$0,"($62,048,385)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,12/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$989,678.44",Explore Tableau for Finance Analytics,"$989,678",$0,"($989,678)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,1/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,134,717.34",Explore Tableau for Finance Analytics,"$1,134,717",$0,"($1,134,717)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,2/28/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,757,248.74",Explore Tableau for Finance Analytics,"$1,757,249",$0,"($1,757,249)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,3/31/2018,Actuals,Export,Current (Actual)
Average,True,False,False,True,2,Cost of Goods Sold,20000,Cost of Goods Sold,20000,Cost of Goods Sold,20000,20000,Cost of Goods Sold,2,"$1,446,957.96",Explore Tableau for Finance Analytics,"$1,446,958",$0,"($1,446,958)",,True,9,Other,5000,Other,5000,5000,1,a_TCC_2018/Export_Actuals.xlsx,4/30/2018,Actuals,Export,Current (Actual)
